Date,Open,High,Low,Close,Adj Close,Volume
1/10/2019,4048.340088,4085.090088,3631.070068,3668.149902,3668.149902,412522198
1/11/2019,3668.149902,3729.689941,3616.409912,3669.199951,3669.199951,231465488
1/12/2019,3669.199951,3692.120117,3611.199951,3664.379883,3664.379883,103912541
1/13/2019,3664.379883,3675.199951,3528.23999,3551.23999,3551.23999,164125048
1/14/2019,3551.23999,3748.879883,3544.530029,3703.899902,3703.899902,204793029
1/15/2019,3703.899902,3724.300049,3590.48999,3621.23999,3621.23999,198582447
1/16/2019,3621.23999,3704.370117,3611.379883,3643.98999,3643.98999,196211595
1/17/2019,3643.98999,3695.280029,3586.919922,3685.300049,3685.300049,168287506
1/18/2019,3685.300049,3685.389893,3620.439941,3648.050049,3648.050049,118317804
1/19/2019,3648.050049,3799.620117,3643.01001,3729.780029,3729.780029,143238228
1/20/2019,3729.780029,3754.649902,3529.25,3567.72998,3567.72998,177628515
1/21/2019,3567.72998,3599.830078,3535.189941,3571.919922,3571.919922,129000924
1/22/2019,3571.919922,3635.689941,3473.77002,3602.040039,3602.040039,191355241
1/23/2019,3602.040039,3631.149902,3543.959961,3572.050049,3572.050049,135864247
1/24/2019,3572.050049,3616.330078,3546.5,3598.52002,3598.52002,113155246
1/25/2019,3598.52002,3607.429932,3539.409912,3582.889893,3582.889893,116674680
1/26/2019,3582.889893,3676.399902,3578.620117,3596.5,3596.5,105927045
1/27/2019,3596.5,3605.98999,3511.290039,3565.080078,3565.080078,93766117
1/28/2019,3565.080078,3567.560059,3402.560059,3453.419922,3453.419922,206309738
1/29/2019,3453.419922,3463.199951,3369.189941,3418.25,3418.25,158106687
1/30/2019,3418.25,3488.909912,3395.939941,3467.209961,3467.209961,146422486
1/31/2019,3467.209961,3499.780029,3422.830078,3434.129883,3434.129883,128773893
2/1/2019,3434.129883,3478.550049,3398.959961,3461.629883,3461.629883,144476056
2/2/2019,3461.629883,3519.139893,3441.209961,3508.679932,3508.679932,94144187
2/3/2019,3508.679932,3514.429932,3424.419922,3449.620117,3449.620117,79591219
2/4/2019,3449.620117,3470.800049,3429.209961,3431.23999,3431.23999,82280894
2/5/2019,3431.23999,3447.879883,3415.669922,3447.659912,3447.659912,84042727
2/6/2019,3447.659912,3459.330078,3362.23999,3394.889893,3394.889893,150408587
2/7/2019,3394.889893,3406.540039,3369.100098,3375.330078,3375.330078,97390901
